,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h)
Metal_Dopant_1 Relative Atomic Mass,,0.05423053935218985,5.546189197868412e-16,0.06927730462457839,0.01499994420181943,0.017705367622213867,0.022503198508020655,0.04949533086315004,0.025005651941865516,0.06432905919172119,0.010804856539998882,0.00805834092172778,0.01050961762614439,0.0029236901739573794,0.0015422725067122107,0.008664449747042084,0.010413883584662458,3.7786790733995506e-16,4.022053180169404e-16,0.05299668644685013,0.015452997603892139,0.0032315102366267906,0.05512005707726808,0.08670576637791706,3.0551823773608966e-16,3.1345507231402286e-16,3.57392764266781e-16,0.008624238949426447,0.02357040059928162,0.031871068205696844,2.8896667671549523e-16,0.003285763173441315,0.050988951774763064,0.03500163729714328,0.028741762041784226,0.038958633653730014,0.02778412896557535,0.06900759099191664,0.017830335277828884,0.0005456344668460389,2.426590956501102e-16,0.011549128370885108,0.09912794114399887,0.06325175411684669,0.0,0.00909577409891154,0.020009688933985095,0.02907091404988363,0.018275117367763844,0.03136684078314099,0.0,0.07063473095560674,0.06026412483475742,0.012073011518579358,0.024174618160165272
Metal_Dopant_1 Atomic Number,0.05423053935218985,,5.973112998971733e-16,0.010466540711453897,0.019499036949790643,0.11407009606878243,0.020304076686338417,0.009518700255774356,0.0029253417144423453,0.07972972523104838,0.01769070514282659,0.015094927729650225,0.04012589603179992,0.00465528976337148,0.05175006678963968,0.014275535529706446,0.010015237627306512,5.333127739190255e-16,2.951415895695077e-16,0.04395467963591568,0.009809263756691923,0.02253587790682829,0.02639164792524869,0.05357452613477347,4.571475031457281e-16,0.019567240328358108,6.483771311669867e-16,2.9528144006129235e-16,3.154965517448949e-16,2.823758223666673e-16,2.998021296655734e-16,3.4125452177351206e-16,0.0027010286849477472,0.0492556902757624,0.01760403837378551,0.005402020512086148,0.042566263539732294,0.07406954916545716,0.04387194843159332,3.27326400389346e-16,0.005730116239922745,0.014569230393293097,0.08701349148853141,0.05518713066492377,0.0,3.763179122989831e-16,0.0382022703932984,2.310288627553033e-16,0.0188041345625849,0.030992255026940856,0.0,0.005265988506426146,0.040145688498708657,0.04477828350577434,0.01780997967275864
Metal_Dopant_1 Period,5.546189197868412e-16,5.973112998971733e-16,,0.09558988517109462,1.6674824115353245e-15,2.470997152027383e-15,0.02338754556914,2.512738136777748e-15,0.006467916427977264,0.03106719409158838,3.6907066859247e-15,0.015210415486573575,0.032874239105265435,4.814182547837279e-15,9.19113560302431e-15,0.014020425557366562,0.08759332384431498,1.6500164841623009e-15,0.11710791165499618,0.025061907369133486,1.2496287070736173e-15,2.0966059574375067e-15,0.022298442882067795,0.005381594095182931,3.4961700868194408e-15,4.1786767198681885e-15,5.1158937434735736e-15,6.089235729483951e-15,2.397277460566603e-15,0.04456891404133255,0.007420314670811967,0.06764417341341765,0.06984176604829137,0.1145975391007435,6.872689261705527e-15,2.587382192544304e-15,5.0614282664582995e-15,0.027083825038246946,1.1685551703036703e-15,1.8426297961381245e-15,5.356685855298598e-15,0.016066933626051237,0.024925509281761703,2.9593457145004556e-15,0.0,1.2171663632056898e-15,0.02125610127291276,3.548558717067236e-15,1.9690184385373115e-15,0.01557460460378981,0.0,7.377225049169909e-15,1.987867001171615e-15,0.02562098399881236,0.005744933088333765
Metal_Dopant_1 Group,0.06927730462457839,0.010466540711453897,0.09558988517109462,,0.007238303604784173,0.25472021413402574,0.037048527279456636,0.04183718967066211,0.06190459048072066,0.019813275125269293,6.347814106637598e-15,1.3572886534162145e-15,0.006196977320146754,5.172490819414051e-15,4.6501994720880965e-15,0.0401955209631572,2.01802979213224e-15,0.07294689516851138,1.1648766902545956e-14,0.037739484532623754,0.004147248855266751,0.03271629313969058,0.01340011856422097,0.0033485179889803044,3.338857315338491e-15,4.721664609841628e-15,1.7563281851606746e-14,0.059495866543236325,3.677730487152446e-15,6.5105541819952415e-15,8.632120430880868e-15,0.03580258918075995,0.04075993986667154,0.10714844663790238,0.054767834943906094,1.0391599718160613e-14,0.08457827957826201,0.03019709063970764,2.8628062114821323e-15,0.009663444338208682,6.082655273236731e-15,1.3990864066110386e-15,0.06225875446562426,0.011179632558374446,0.0,2.8028524044118318e-15,0.03322530437378224,5.802331930159863e-15,0.06595428689173824,0.008541624354632361,0.0,1.4459376619639548e-14,0.015657999682263727,0.054550884079029464,0.006044194774091954
Metal_Dopant_1 Ionization Potential,0.01499994420181943,0.019499036949790643,1.6674824115353245e-15,0.007238303604784173,,0.046852682491848686,0.018654108473599895,0.028816692530553068,0.011550793697830242,0.009885109220411116,5.033279115826637e-15,0.0248751527189769,0.030654837356187892,2.4804067648501683e-15,0.028160983969117894,0.02561502254586212,1.3064189116214997e-15,1.3296370325429692e-15,1.567779142046971e-15,7.325568792342556e-16,0.07138837102964378,2.0713418075444223e-15,1.4658594719483417e-15,2.2787482795172454e-16,9.09357098212655e-16,3.7859380413716466e-15,2.0330538259360555e-15,3.011079637194368e-15,2.642022234538444e-15,3.6448034252245435e-15,1.5675691228154394e-15,0.08242988447058909,0.05420593575787949,0.08810629962496198,1.4032141260251388e-15,2.9888552583291747e-15,0.028033928261338034,0.03703649203137716,0.14874760155277686,7.947327159744021e-16,1.2457125325377334e-15,0.033737505614394425,0.04194006338744487,0.06936429196243145,0.0,9.901156535829977e-16,0.013406445047436112,2.1165331192767734e-15,0.05047510654676896,0.03562377090375471,0.0,2.2833739090263014e-15,0.040193960657922315,0.02436991010142182,0.007445201918840307
Metal_Dopant_1 Electronegativity,0.017705367622213867,0.11407009606878243,2.470997152027383e-15,0.25472021413402574,0.046852682491848686,,0.019899235276228087,0.001027314390377095,0.08894923596351645,0.016002344215414393,3.5427797426948885e-15,0.037737879503309785,0.13111973517480022,0.09247305215822973,0.147367458422892,0.033210592997820414,7.401147851064074e-15,0.13929942897722591,0.18870065552471083,0.12524122777487284,1.9573927112279487e-15,0.11014234817234954,0.1199440085227566,0.0024410519624790505,0.010526872960283337,6.462945869632331e-15,4.3716220227139295e-15,6.049334496602647e-15,2.75378571431176e-15,3.0307996027356173e-15,3.149360954071026e-15,0.038267038355838175,0.06278040362217022,0.2648796176240901,0.2708798995136922,3.772275775207273e-15,0.11370906382675491,0.0606695056176553,1.509666726022313e-15,8.438415364267259e-16,7.909083873718766e-15,0.009686124440223461,4.0448152700140647e-16,0.02153598468869769,0.0,1.6393397944074643e-15,0.007981069029969505,0.2424731026348946,0.007950850296593698,0.024555133140630892,0.0,6.112542991393219e-15,3.4964499209656828e-15,0.07411902131029358,0.007086921242101104
Metal_Dopant_1 Number of d electrons,0.022503198508020655,0.020304076686338417,0.02338754556914,0.037048527279456636,0.018654108473599895,0.019899235276228087,,0.07866178370443606,0.03305493187598569,0.07085713669726856,0.01547486715028988,0.08966016368812413,0.005152050363392428,8.611978419678953e-16,5.179909859469071e-16,0.011822906070601975,1.1044492182601108e-15,6.496387554181395e-16,5.110471113185214e-16,0.010628059830249333,0.011011109152056248,6.017706314036363e-16,9.188870328389492e-16,0.0057443571569986696,4.387000704817312e-16,5.372953910096417e-16,6.580384359484493e-16,8.997783444872496e-16,0.025322278504578882,5.326111583804303e-16,5.37015377004765e-16,5.789056823159192e-16,0.11285252607270571,0.25069530037161786,0.01011105911124053,0.01994225754355726,0.12720440937497712,0.023208750159881594,0.026719014190155606,0.008359471486811064,1.0251715500586194e-15,0.021132650638486572,0.11657999217781544,0.1553269114053812,6.936460939001388e-16,0.015446728986428654,0.027129864855726205,3.094317408781206e-16,0.05375504215399222,0.11675678115467539,6.936460939001388e-16,0.0286789926937342,0.04428765234492543,0.019178359716879805,0.010651527675414538
Metal_Dopant_1 Atomic Radius,0.04949533086315004,0.009518700255774356,2.512738136777748e-15,0.04183718967066211,0.028816692530553068,0.001027314390377095,0.07866178370443606,,0.018491750032767647,1.2875185327110752e-15,1.5930105470901403e-15,0.16779541641827955,0.024872930125662145,0.007383691355715725,0.06702642144814389,0.03647170860698935,0.08795362820364995,0.04468708479050429,1.858379309875501e-15,0.025205851266429817,0.025095099470501418,8.4039835456077695e-16,0.006822831810715175,0.00861465645164788,5.1583978157464304e-15,2.1654763898994862e-15,8.736641206884049e-16,0.010869279478903059,0.04164831346368161,3.4159703473958653e-15,7.372022589837817e-16,0.02779239381077915,0.17665623809411274,0.08903753122944305,0.003038702047848585,1.1403638061975502e-15,0.06153767724156478,0.08549803229481402,0.04876918988570854,0.036814583847923306,9.235839017319991e-16,6.151480994345406e-16,0.06072076616275498,0.020508272000765566,0.0,0.02285332950315432,0.008583478623059812,1.6706031839827852e-15,0.16923436375414555,0.04881678534042194,0.0,0.05492997448996964,1.4922570597877858e-15,0.04963779622355032,0.007060955759255207
Metal_Dopant_2 Relative Atomic Mass,0.025005651941865516,0.0029253417144423453,0.006467916427977264,0.06190459048072066,0.011550793697830242,0.08894923596351645,0.03305493187598569,0.018491750032767647,,0.031221174476552527,9.006736145851572e-16,0.003477324066082,0.007902732853982339,0.05007259266023271,1.396971870706018e-15,0.06899266603003765,0.133728817433543,2.5898330722423663e-15,0.054578753017756235,0.08524915318649659,0.05068571077864633,0.04273375662965169,4.991050943411173e-16,0.014053871165344076,1.101316594095497e-15,1.5789790360884062e-15,0.0399644824562048,1.2325241768328584e-15,1.0672428786894291e-15,2.324984618126721e-15,5.798515781436582e-16,7.306519538633456e-16,0.013142755077193584,0.056512280285152025,0.14313884573735428,8.592638241326472e-16,0.026123957309007035,0.038945023698940935,0.04421392107983707,0.004219937605540721,0.09535100835432508,0.027509116581593593,0.024325890158687778,0.012697203456892773,0.0,9.08612419084539e-16,0.006478356756993406,6.834348989089725e-16,0.04859335367167206,0.026718819903199527,0.0,1.6409573937764474e-15,2.2285950522610813e-15,0.06999614206699184,0.010668211553799944
Metal_Dopant_2 Atomic Number,0.06432905919172119,0.07972972523104838,0.03106719409158838,0.019813275125269293,0.009885109220411116,0.016002344215414393,0.07085713669726856,1.2875185327110752e-15,0.031221174476552527,,0.02833863708615264,0.0498789620182462,0.015571407537702194,0.010220961180667239,1.7429816698086094e-15,0.050306924424325085,0.0674694014554893,9.597506680342522e-16,1.3395560558730366e-15,0.014637521057946691,0.011443388209127284,0.008458657499682483,0.06458257453373736,0.01157488339081123,1.4562416926795182e-15,0.046182828970763964,1.6982178848221716e-15,2.136569906403814e-15,5.438986457747421e-16,0.046457822091361525,1.38062294954422e-15,1.1971737947801845e-15,0.031492503126877465,0.03755210032013199,0.07817323809231053,0.015496390889373173,0.09490027729661882,0.04043206766599822,1.2128289073617417e-15,0.04625728711043646,1.2471967701921961e-15,0.04871361371729614,0.040160727654248184,0.07071993853608517,0.0,0.040948233447219276,0.009195432683535749,1.5770038080505862e-15,0.03236341396219818,0.015595091564977709,0.0,1.2857289632209073e-15,0.054452234784753896,0.05404433235741234,0.007482720761113047
