,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h)
Metal_Dopant_1 Relative Atomic Mass,0.0,0.08007824955319673,0.01263453994536586,0.039701432368643846,0.11495086644614573,0.08921110442791785,0.7540237320180222,0.06195016994443894,0.24240428308089843,0.15848998887061633,0.004017980229568286,0.33912760076429993,0.1359944805773522,0.05874119706309127,0.12336915962416405,0.2556289058664598,0.10577518668262542,0.0071756898387588626,0.008307314661218835,0.038550387217473524,0.10544825817419815,0.17943806013251326,0.1452645228492982,0.15557260040673015,0.0017832044075221868,0.0045707517530854044,3.838614476479389e-05,0.00012344273810203747,3.890401335695225e-05,7.537567821676599e-15,8.90463954387472e-06,6.534079539936681e-05,0.2650865840108512,0.25315761512732193,0.1373552183976408,0.00014595728986558046,0.19925633426963113,0.2957930702253961,0.0602274855570365,0.0708613759167978,0.06018956510584203,0.07022422063670916,0.21790903309750884,0.18253251084505553,0.02967540565081813,0.029595400454015954,0.3242194609616692,0.019501287571994933,0.18884661873132463,0.37845192022318375,0.07467687203227956,0.028657022219829992,0.14364069696373657,0.197222546681054,0.22252780089681348
Metal_Dopant_1 Atomic Number,0.08007824955319673,0.0,0.07729423344542127,0.2335801318967296,0.08544409214869583,0.03490994910164845,0.6262287750428781,0.06517745246268263,0.48916269894935277,0.19626001545867858,0.0022196685025050655,0.10050020106869409,0.059519816495572385,0.2351694403573463,0.03010255821027565,0.13149164806079805,0.2112957333711358,0.3957066193290233,0.584823624822233,0.450893157223205,0.06646023041313202,0.2662422794572362,0.009542919544006346,0.1098583876322222,2.0583768590889605e-05,0.00012306870010653546,0.038030238198175824,0.00010468623833809331,0.00010073426297801571,1.902183547640932e-06,0.00026383536847514116,2.1271543963112642e-05,0.1626223001872697,0.2572639494139824,0.09249571091331246,9.53686710589244e-05,0.1416015815857145,0.10317387018317499,0.10127716406637041,0.028237306975490175,0.04240284669569419,0.19086110570867268,0.17343695071181373,0.11523104549095932,0.0006207268168282277,0.12429338650669235,0.14190340564270565,0.3299824210827821,0.1578991566738697,0.1666219300257839,0.03272562437305158,0.1289803548647444,0.19024770603381955,0.0998902875492121,0.09927750338538427
Metal_Dopant_1 Period,0.01263453994536586,0.07729423344542127,0.0,0.034045011869664715,0.03053755733499059,0.06767344860444982,0.052883653795412225,0.061921804867586056,0.02734512085799534,0.08762032244767,0.009183368556981021,0.1152438220701889,0.05333358944925278,0.014944963523309863,0.08560296800974167,0.06615833705932177,0.04716882623762048,0.05321971594474875,0.006916017181445131,0.05007404237215381,0.040587940338375546,0.10426532120290574,0.01199381391815175,0.011093477058871995,0.00010617936075166433,0.00012631101888209062,2.211373344496051e-06,2.2113733859578876e-06,2.2113733487706814e-06,2.2113733591111084e-06,0.00042840551465481164,3.060862561588506e-05,0.0674269663717138,0.1264430770585188,0.07777870111914399,2.2113733443553765e-06,0.020347625868545896,0.07323632952401761,0.09802463637841262,0.012693625709967217,0.02725563745487746,0.17792851444741473,0.07210545255241688,0.1411180297836659,0.007990487547301755,0.03377682748494124,0.009190785115933955,0.12062480613733538,0.0716226528539763,0.17387718009304579,0.06469958218642807,0.019341400110011675,0.11223114512016333,0.06470426632960025,0.043896700508210915
Metal_Dopant_1 Group,0.039701432368643846,0.2335801318967296,0.034045011869664715,0.0,0.10496094122427811,0.14754694049928962,0.16880033011232548,0.1443383757070765,0.38193096201038534,0.16207504436555775,0.060988608014365904,0.1939096351680095,0.14343872106797118,0.14569507937594606,0.12636576615805478,0.14151700351974603,0.2411571463449174,0.09108293631788573,0.04221923335730294,0.12191907157906715,0.2320607882920951,0.02694436951815855,0.03708436446760949,0.05191410847407125,0.008605626555028929,4.045003588393861e-06,1.333849628104537e-05,0.013776587487810745,0.0009068183339851577,4.0450035953161e-06,0.0017922047120957113,0.06872233651227634,0.39025119256556656,0.2889067276062653,0.1428665904501348,0.0016344166380456275,0.3088855533511483,0.2948172048927212,0.21627697545786004,0.03395396914699392,0.16554969921033774,0.19354764998821292,0.17363613047434084,0.19837840338421459,0.02462421476542355,0.4227730465834582,0.19014038351344115,0.15319664300215372,0.2206252644928307,0.24004017504470887,0.37125347534093467,0.08448237134955701,0.32085438689218243,0.21991555931261547,0.05211683709623384
Metal_Dopant_1 Ionization Potential,0.11495086644614573,0.08544409214869583,0.03053755733499059,0.10496094122427811,0.0,0.16686809142802478,0.12947102519031392,0.19245492197885428,0.326275934439077,0.11940541606510359,0.0540977712301211,0.0656180648779447,0.11366418794285307,0.20386444661653666,0.2165440675960207,0.12411453738602213,0.09325092828574953,0.03149910915807861,0.1427573642336559,0.06457711456944208,0.08380251284287804,0.4241954641988929,0.06551358779737494,0.07473682594799046,0.005686351677878864,0.001212289748604244,0.0011679881324532088,0.0010390575907921085,0.00012562017913647416,0.0007804451898142539,0.00030388124196097164,0.00011894364719951107,0.3772184542291689,0.32778029681747445,0.13991487819276202,0.003976086681849449,0.18702002237978085,0.24739352781762294,0.20860138195876246,0.0442877780889288,0.14564304313836904,0.10781557495981473,0.13917662839238543,0.17512011017954648,0.0008137057836168554,0.044823887121824245,0.05080958397530581,0.12111624299406959,0.1670767704942666,0.30483210610573486,0.10228859341584201,0.060620577457646735,0.29690112870366003,0.10348003932239334,0.045992177316533774
Metal_Dopant_1 Electronegativity,0.08921110442791785,0.03490994910164845,0.06767344860444982,0.14754694049928962,0.16686809142802478,0.0,0.15879922417725023,0.22418659315627695,0.13738158049109647,0.12547638350164284,0.027682918465030522,0.20520420968311265,0.0712001137545127,0.3470604758456197,0.16568995634163936,0.15475107444297115,0.27571914666202424,0.05965371828297665,0.021604966896693868,0.25220576344726986,0.2627158797856915,0.2322816868331814,0.08799881724230686,0.08946390023121183,0.007247839317651177,0.0009766334113573585,8.990990123470332e-05,0.0031481489089426537,0.00469482840268302,0.0033960544278051415,0.001267279121351059,0.0041103707816487365,0.38177576112983613,0.2377455033028497,0.30396785305565505,0.0021323641839385964,0.16151422604216742,0.38376844391146286,0.1945793585093646,0.11706675411889383,0.10341189366346559,0.21015455367311503,0.204773441698023,0.20326962883519722,0.02358462515557774,0.0876402607991371,0.029645932342037436,0.3993826423220727,0.19319460489751933,0.21361732381002205,0.3236698271584708,0.051725990172950626,0.369142072336111,0.14163846202127447,0.04281447436920788
Metal_Dopant_1 Number of d electrons,0.7540237320180222,0.6262287750428781,0.052883653795412225,0.16880033011232548,0.12947102519031392,0.15879922417725023,0.0,0.12145698860587816,0.3324078955981693,0.29069805860884723,0.04984859549300907,0.13531746842800638,0.12725343195282235,0.15270268111946703,0.10349485138469532,0.28276738324548695,0.1679395164688054,0.04767686127405321,0.0561845628517231,0.08229135781074239,0.12481401902406443,0.07707546893448629,0.1310487512174874,0.15851226994846854,0.000310165674857509,0.00035091643833013857,0.0001347182106088859,0.0008668226073950488,0.00023973323912498273,5.4459532726820476e-05,0.0010622784314897214,6.890346458273938e-15,0.5877799466185909,0.644952398605414,0.2313061573816022,0.0002651288949437757,0.16182605683029044,0.16380777422413967,0.19222616409896484,0.007304991071108106,0.06616648724140721,0.14201549380293538,0.6322731042056805,0.5684410176261478,0.0023839668649034552,0.30120644644984157,0.33741968419362667,0.06649543176416542,0.24246247309819816,0.22279780437021765,0.03879892213647822,0.04016684222299459,0.7673213699413078,0.17671374458543324,0.132412567306241
Metal_Dopant_1 Atomic Radius,0.06195016994443894,0.06517745246268263,0.061921804867586056,0.1443383757070765,0.19245492197885428,0.22418659315627695,0.12145698860587816,0.0,0.1901388979655383,0.11323398993249169,0.025411123942515098,0.23460584405495727,0.14489798653872824,0.0902935517005912,0.1765539150331812,0.09583888774470703,0.13079543716865832,0.13596961962813212,0.054559256455451524,0.07835695212321699,0.11955530707313228,0.32593864002393474,0.3469917872619089,0.05650839254288102,0.09090615065066139,0.0012741406744991822,0.009619744785663315,0.005984473930656167,0.0017251861167956882,0.01004273779421845,0.0016796807643190818,0.015953108648874052,0.23187418970112458,0.21969533120747056,0.23320432269768607,0.005490724959604836,0.13773443639340788,0.3363365245936325,0.1804129184476576,0.12775494246957494,0.18241806737079297,0.10935743888384808,0.16225985133997323,0.26835663475344196,0.0018230245927905939,0.12041799186558254,0.09734105159771299,0.09946896423323429,0.16272073658825917,0.21939737088787697,0.1988655741643247,0.08826762183904459,0.26982237825132477,0.10586752897060826,0.04494382052453198
Metal_Dopant_2 Relative Atomic Mass,0.24240428308089843,0.48916269894935277,0.02734512085799534,0.38193096201038534,0.326275934439077,0.13738158049109647,0.3324078955981693,0.1901388979655383,0.0,0.2649753144769654,0.08135268264868588,0.1824594366334294,0.20846957820443404,0.15345414891870876,0.07233538344406439,0.09810932885036847,0.17996181402071554,0.12397456646158792,0.027973794883189733,0.03252421650829358,0.10359798911787431,0.1712862357880937,0.1269165768438125,0.13906792246595917,0.01673771169683316,0.0024270093343223276,0.030626409897553573,0.02262762356172633,0.0019605881098738055,0.019827022086769334,0.010805242113306454,0.040734923051770684,0.18559095641482193,0.17759052671820086,0.12398776788687339,1.409101765216543e-14,0.10044226017259544,0.3709411473977602,0.33375873930286987,0.03556401029088988,0.21930970418506107,0.25937633780309416,0.19583057446298965,0.2669573234436847,0.02533386144190159,0.05893422891993773,0.17444373080984973,0.05355256136914047,0.15699838848873635,0.12705423462964688,0.16357534935945356,0.05332347362509304,0.3238595854847598,0.5544334425369798,0.07645936546618735
Metal_Dopant_2 Atomic Number,0.15848998887061633,0.19626001545867858,0.08762032244767,0.16207504436555775,0.11940541606510359,0.12547638350164284,0.29069805860884723,0.11323398993249169,0.2649753144769654,0.0,0.06490474646101567,0.03798420435434371,0.10986158008984795,0.04679285689204756,0.06617991062081663,0.05185145868767029,0.02636315537181365,0.13275857522548376,0.023204058146198834,0.0736054372440047,0.36741621277444547,0.016214083253882093,0.02074309290014405,0.010897606431860283,0.00953937500069241,0.010370160362604833,0.0013937475292908762,0.010883539769520702,0.01947212259077032,0.008533451423704588,0.0018076214203789334,0.00428481232315457,0.3515272078752539,0.13716692209676998,0.4415401535937458,0.022883581451790116,0.04637886612305658,0.027636734083166394,0.1982371338328024,0.06353234371627041,0.08400438857683742,0.059434273775365,0.09575311162356974,0.21234129814986463,0.05268351468167754,0.15880848219423477,0.09747030909215876,0.12575644423408594,0.21619907582906367,0.22898991808424923,0.04857475970574926,0.1388888582071809,0.4760521330374781,0.09336128326297825,0.027311718926828592
