,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h)
Metal_Dopant_1 Relative Atomic Mass,,0.0003657546467216971,0.0004314242895236317,0.004940153323037231,0.004126809203691549,0.002215061882879516,0.054704107168397596,0.0060808160525119654,0.021543348052555276,0.001184564999298096,0.0,0.04052422387248362,0.009806304430674265,0.00492379705923201,0.004716869179010131,0.0129974263357598,0.007965787518207909,0.0,2.162420763081338e-05,0.0030629765953743868,0.001276920194161807,0.000692238817583694,0.005389047193555351,0.03413771265680532,0.00022433809943378123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007968490739645099,0.014650494276816318,0.002774196550331489,0.0,0.003766017919510419,0.03247816393265172,0.0027924553565508627,0.0021259074295857635,0.001993889216530206,0.001971578595987551,0.009717854896261584,0.010076420302155251,0.0006491720521946051,0.002110195351143033,0.05460486765711368,0.0031607617239126544,0.0059956076215649575,0.009274335223420287,7.116817894076237e-05,0.0006832867873362894,0.00226905373573046,0.025050862713478672,0.0584677953510582
Metal_Dopant_1 Atomic Number,0.0003657546467216971,,0.0009626228291877658,0.0015347157357382688,0.001798039281694329,0.0002412976981823551,0.000489219104173798,0.0009031670332670552,0.0025093290895644694,0.0,0.0,0.0006635163881677867,0.0003069625393426428,0.0008389504952328598,0.0007342794915802726,0.0005450283616269447,0.0005763533570434808,0.0,0.0,0.004173143787972441,2.3523829222653706e-06,7.285382734342137e-06,4.974231834788582e-07,0.00021801189854781766,4.520217157310764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025343576130159,0.0012494174269554715,0.025715905042101875,0.0,0.000506630566149814,0.0014256639694381736,0.02123831460201091,0.007870992728193194,1.6095574948306434e-05,1.206715214363868e-06,0.002082552967932918,0.002616009801206855,8.292695047454317e-06,0.018755657523767507,9.413626044460224e-05,0.001735061377879203,0.0015573057438262137,0.0010712659036207694,0.0,0.007718020611976267,0.006116376941541694,0.0009132633248182575,0.0004214988751601305
Metal_Dopant_1 Period,0.0004314242895236317,0.0009626228291877658,,0.002225726956765068,0.006241541941730521,0.011522931257309998,0.0002481151734491184,0.0003233426629054455,0.0012392647769502495,0.007261363152997387,2.9543032948279265e-06,0.0008991692733900474,0.0023359095183974657,0.00038940240131838413,0.0070222220942734335,0.000790273501269365,0.0026022208227189005,0.0,6.059377851584903e-06,1.4798783999524893e-06,1.286841374627177e-06,5.82107947340047e-06,1.1302586755303065e-06,5.158070466809701e-05,5.897595057878777e-06,2.954303398260269e-06,2.954303398260269e-06,2.954303398260269e-06,2.954303398260269e-06,2.954303398260269e-06,2.954303398260269e-06,2.954303398260269e-06,0.0037486536687514524,0.001994838394091236,0.009731101007626307,2.954303398260269e-06,0.015385284188032967,0.004302761656997196,0.00015148452401535855,0.005664531111545395,0.0009124673929947959,0.003218207358970821,0.004807378306164976,0.0015569591727154248,2.931914828517782e-06,0.011694549107894392,0.00014210251705495713,0.000995344218420694,0.005599056638834113,0.007141619371323894,1.2008743703908007e-06,0.0007152086008031895,0.005780416381265274,0.003715827956726684,0.0036103585708270967
Metal_Dopant_1 Group,0.004940153323037231,0.0015347157357382688,0.002225726956765068,,0.0514891830716998,0.015613503885594465,0.015307034018138224,0.021257839512487713,0.017176788078038022,0.012659807641845829,0.0,0.023406059889605386,0.014482496281700985,0.026308890035730965,0.018373563838191997,0.04243442756088658,0.00999527273825291,0.0,0.0006525733621193593,0.011321232738875803,0.013754892275249682,0.0131960929657883,0.005504077674362755,0.002201354524638801,0.0037485469951872873,2.5816639159349125e-06,2.5816639159349125e-06,2.5816639159349125e-06,2.5816639159349125e-06,2.5816639159349125e-06,2.5816639159349125e-06,2.5816639159349125e-06,0.10571802557055944,0.0942587614381615,0.014634707504233197,2.5816639159349125e-06,0.20071932840613946,0.02016047687563389,0.04463478743366226,0.014352134924042416,0.011427511350418633,0.020980268042799767,0.013867078973495643,0.016239367353520894,1.142529323136726e-06,0.008099205178053894,0.06516859384413283,0.03873294090759832,0.05021625337488785,0.019590533720414083,0.007032490868747734,0.004930004382758168,0.07103507466605284,0.084206415348227,0.015326893242790608
Metal_Dopant_1 Ionization Potential,0.004126809203691549,0.001798039281694329,0.006241541941730521,0.0514891830716998,,0.11656022193355256,0.01160872036758695,0.017678962991854178,0.03833653795424175,0.007171090615851688,0.0,0.006375193079898012,0.020993061475138675,0.02301320818636032,0.01590887137260109,0.00930949417954442,0.024367393210402016,0.0,0.00020892709849501594,0.00803424158239838,0.003591020846075746,0.0014809380314352585,0.0009630242103523108,0.0021749402419534466,0.0003008309598225054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052786768048917375,0.011925902947761817,0.011154564453398741,0.0,0.024003970966719045,0.009888627418972257,0.019067748822089257,0.0023949109901110336,0.008225987179308964,0.014240945638197078,0.010970156179851481,0.009759357528726044,0.0,0.0038715545265455014,0.001729302857866524,0.018294434216571624,0.018934590029347283,0.022030732778978334,0.0004422638707971325,0.008574903994548733,0.031426510152284065,0.01292989226296154,0.004830208924534093
Metal_Dopant_1 Electronegativity,0.002215061882879516,0.0002412976981823551,0.011522931257309998,0.015613503885594465,0.11656022193355256,,0.006894361399296066,0.011325082519376703,0.0252316444303361,0.011530276540619281,0.0,0.005017139215411312,0.020477347369899267,0.008913794852222994,0.03170929376288722,0.004437304275331761,0.008691221009854776,0.0,4.947950520232534e-06,0.014314005027930517,0.020669533910889677,0.006180430086271855,0.00770639861132091,0.0030509281319303187,1.7952834304569423e-06,3.26023968675918e-06,3.26023968675918e-06,3.26023968675918e-06,3.26023968675918e-06,3.26023968675918e-06,3.26023968675918e-06,3.26023968675918e-06,0.04968296550977125,0.02232540746636702,0.013078912936870074,3.26023968675918e-06,0.01572449466341549,0.007155761759898794,0.011659603393275344,0.01669904307305694,0.005057225063617764,0.03012377603825634,0.010694319943209725,0.013331293754566749,1.4415868154241533e-06,0.022428276964700396,0.001396005862988013,0.0060788359643711995,0.01635298674721075,0.01699057453460747,0.0002856828124348158,0.0201043826568786,0.016139173625062495,0.046200333901512736,0.006790943411615084
Metal_Dopant_1 Number of d electrons,0.054704107168397596,0.000489219104173798,0.0002481151734491184,0.015307034018138224,0.01160872036758695,0.006894361399296066,,0.00619591080892338,0.09941632949423991,0.0006935411393063555,0.0,0.03918851334876848,0.00820292614956866,0.0028763496014480886,0.006212884221455855,0.012995698995948842,0.0068340942154595284,0.0,0.00024625669009996397,0.0026673299794881364,0.001583899229909879,1.4165874520299778e-07,0.01028436331762938,0.03347042319901638,0.0002452255446548311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03938504520542941,0.03353330300705189,0.0007068976126802739,0.0,0.011138592536905285,0.0225051961440502,0.009643014865531358,0.0007191488047984182,0.0007545331565886344,0.004322935440851155,0.05897810195069648,0.010222189507636729,0.0019953995266448307,0.0014240412142972076,0.04654638338724487,0.00493333789717152,0.013361243905014385,0.009888671485952072,0.0009106983787057819,0.0009069087710893473,0.0079049933533751,0.0067632712840428825,0.04367116157883532
Metal_Dopant_1 Atomic Radius,0.0060808160525119654,0.0009031670332670552,0.0003233426629054455,0.021257839512487713,0.017678962991854178,0.011325082519376703,0.00619591080892338,,0.022024310164624392,0.0012176930653102769,0.0,0.006010942378166165,0.029327329114339454,0.059091320144821206,0.014224900407905803,0.01222267900604719,0.006815113718962502,0.0,6.809803198596185e-07,0.015458612223136933,0.0069190088331741555,0.032059639357896894,0.005604291552615608,0.005668794278132223,0.0033606715854672025,3.223170289587579e-06,3.223170289587579e-06,3.223170289587579e-06,3.223170289587579e-06,3.223170289587579e-06,3.223170289587579e-06,3.223170289587579e-06,0.057928991121398016,0.047310357727198424,0.026407228851654127,3.223170289587579e-06,0.03015344173961962,0.009400683625124832,0.05498606544931913,0.0018596681788107883,0.006148093358064904,0.01656212482528873,0.0319956849154219,0.017606227966215797,2.946116140796519e-06,0.014274175144670359,0.0046260961268871845,0.005027244054135966,0.02703928888109275,0.0194648991909052,0.0010376820046525067,0.00825694951064203,0.012977688087121712,0.011052209180211424,0.004161509068608635
Metal_Dopant_2 Relative Atomic Mass,0.021543348052555276,0.0025093290895644694,0.0012392647769502495,0.017176788078038022,0.03833653795424175,0.0252316444303361,0.09941632949423991,0.022024310164624392,,0.005250707588869651,0.0,0.029328724740252273,0.027542276342710413,0.01749595665088032,0.03471054357699642,0.026759194346481274,0.03312066004254643,0.0,0.0005698115006265987,0.008443654352366329,0.004250753365897845,0.003732238096898992,0.003807268139503413,0.01733996250701309,0.0037824551247064926,1.0654245418347457e-06,1.0654245418347457e-06,1.0654245418347457e-06,1.0654245418347457e-06,1.0654245418347457e-06,1.0654245418347457e-06,1.0654245418347457e-06,0.021676597703721007,0.0342779066610888,0.013001008483134919,1.0654245418347457e-06,0.03418910462101878,0.0978023512414063,0.055363764546038405,0.008163963618504926,0.0064796425203961575,0.01953867058353403,0.04065915792852346,0.014212092591985775,0.009752383211545071,0.0073362654424157635,0.013422861897655552,0.006823038506322413,0.0384512451556613,0.019695350662350678,0.0007184914353138228,0.004862397993698999,0.009611382974680541,0.06437882672524876,0.011415142902996077
Metal_Dopant_2 Atomic Number,0.001184564999298096,0.0,0.007261363152997387,0.012659807641845829,0.007171090615851688,0.011530276540619281,0.0006935411393063555,0.0012176930653102769,0.005250707588869651,,0.0,0.0010367537872587602,0.0014431094776311095,0.0008962303308639507,0.0013646525408464308,0.001626938796471393,0.005228297032356353,0.0,0.0070276319231349456,0.0053947864466509735,7.49017895910855e-06,0.07673019128268943,0.003184980163728241,0.0006389788976820282,0.016155239398020417,4.328204152843931e-05,4.328204152843931e-05,4.328204152843931e-05,4.328204152843931e-05,4.328204152843931e-05,4.328204152843931e-05,4.328204152843931e-05,0.018509028375463088,0.010925222502636583,0.015851370346318297,4.328204152843931e-05,0.02096624033820054,0.0015435860009753795,0.024406131152793643,0.05300185734978878,0.06686146527631373,0.004897120754983546,0.005892091471677595,0.003072491353200335,0.0,0.02639420292306248,8.71541472948256e-05,0.01953797473040415,0.0031457306785739776,0.0038232165999656925,0.0,0.008904558310446804,0.021861808139607915,0.0029024896497665035,0.0009086373826840468
