,Left_Hand_Side,Right_Hand_Side,Support,Confidence,Lift
0,MDP_1_Ru,Qualified,0.038440715,0.550387597,2.80819307
0,ATEMP_300_400,Qualified,0.020573904,0.294573643,2.022593009
0,CL_0.3_0.6,Qualified,0.017866811,0.255813953,2.019181077
0,ATIME_180_360,Qualified,0.022739578,0.325581395,1.873360864
0,LSV_0_5,Qualified,0.017325393,0.248062016,1.862481881
0,MDP_2_Ru,Qualified,0.016242555,0.23255814,1.704503507
0,HTEMP_RTEMP,Qualified,0.038982133,0.558139535,1.550201084
0,HTIME_720_1440,Qualified,0.016242555,0.23255814,1.427026192
0,ATIME_120_180,Qualified,0.015701137,0.224806202,1.361367391
0,EPC_OVER1,Qualified,0.054141852,0.775193798,1.308759548
0,SL_0,Qualified,0.047644829,0.682170543,1.277859019
0,Carbon Paper,Qualified,0.021656741,0.310077519,1.221136841
0,MDP1PP_100,Qualified,0.016783974,0.240310078,1.219375586
0,MDP2PP_0,Qualified,0.016783974,0.240310078,1.212712331
0,Hydrothermal Weak Reductant in Liquid_False,Qualified,0.061721711,0.88372093,1.207272602
