,Left_Hand_Side,Right_Hand_Side,Support,Confidence,Lift
0,Qualified,STT_OVER500,0.028985507246376812,0.37037037037037035,10.648148148148147
0,MDP_1_Y,Qualified,0.005797101449275362,0.6666666666666666,8.518518518518517
0,HTIME_OVER2880,Qualified,0.011594202898550725,0.3333333333333333,4.259259259259259
0,Annealing Atomosphere Reductive_True,Qualified,0.014492753623188406,0.29411764705882354,3.758169934640523
0,MDP3PP_5_15,Qualified,0.005797101449275362,0.28571428571428575,3.650793650793651
0,MDP_1_Mn,Qualified,0.008695652173913044,0.2142857142857143,2.738095238095238
0,Qualified,ATIME_360_720,0.03188405797101449,0.4074074074074074,2.3425925925925926
0,Qualified,HTEMP_50_100,0.020289855072463767,0.25925925925925924,1.6876310272536685
0,Qualified,HTIME_360_720,0.034782608695652174,0.4444444444444444,1.684981684981685
0,Qualified,MDP_1_Ru,0.028985507246376812,0.37037037037037035,1.4857881136950903
0,Qualified,Carbon Paper,0.03768115942028986,0.48148148148148145,1.4831349206349207
0,Qualified,Hydrothermal Still,0.04057971014492753,0.5185185185185185,1.4663023679417122
0,Qualified,MDP1PP_50_75,0.05507246376811594,0.7037037037037036,1.3194444444444442
0,Qualified,EPC_OVER1,0.05507246376811594,0.7037037037037036,1.2982768865121803
