,Element_Type_1,Element_Type_2,Coexistence_num
0,Ir,Ru,138
0,Ir,Co,123
0,Ir,Ni,92
0,Ir,Mn,50
0,Ir,Sr,84
0,Ir,Cu,51
0,Ir,Pt,52
0,Ir,Na,32
0,Ir,Ti,75
0,Ir,Sn,59
0,Ir,Y,10
0,Ir,Mo,32
0,Ir,Fe,27
0,Ir,Sb,43
0,Ir,S,10
0,Ir,W,33
0,Ir,Pd,24
0,Ir,Zn,15
0,Ir,Ta,28
0,Ir,Au,14
0,Ir,Ce,18
0,Ir,La,22
0,Ir,Ba,19
0,Ir,Li,22
0,Ir,Nb,21
0,Ir,F,6
0,Ir,K,13
0,Ir,Rh,3
0,Ir,Se,4
0,Ir,Te,12
0,Ir,Cr,6
0,Ir,Ag,4
0,Ir,Si,9
0,Ir,Pb,5
0,Ir,Pr,14
0,Ir,P,6
0,Ir,Zr,8
0,Ir,Lu,12
0,Ir,Ca,6
0,Ir,Mg,0
0,Ir,Bi,4
0,Ir,Er,0
0,Ir,B,4
0,Ir,Nd,6
0,Ir,Gd,8
0,Ir,C,6
0,Ir,N,4
0,Ir,Os,4
0,Ir,Ho,2
0,Ir,Tm,4
0,Ir,V,3
0,Ir,In,0
0,Ir,Ga,2
0,Ir,Eu,2
0,Ir,Sc,2
0,Ir,Tb,1
0,Ir,Sm,1
0,Ir,Cl,0
0,Ir,Br,0
0,Ir,Al,0
0,Ir,Cd,0
0,Ru,Co,74
0,Ru,Ni,41
0,Ru,Mn,35
0,Ru,Sr,30
0,Ru,Cu,38
0,Ru,Pt,32
0,Ru,Na,43
0,Ru,Ti,12
0,Ru,Sn,12
0,Ru,Y,57
0,Ru,Mo,12
0,Ru,Fe,14
0,Ru,Sb,10
0,Ru,S,25
0,Ru,W,9
0,Ru,Pd,15
0,Ru,Zn,17
0,Ru,Ta,1
0,Ru,Au,13
0,Ru,Ce,6
0,Ru,La,6
0,Ru,Ba,8
0,Ru,Li,0
0,Ru,Nb,1
0,Ru,F,4
0,Ru,K,7
0,Ru,Rh,1
0,Ru,Se,11
0,Ru,Te,9
0,Ru,Cr,9
0,Ru,Ag,0
0,Ru,Si,8
0,Ru,Pb,9
0,Ru,Pr,0
0,Ru,P,1
0,Ru,Zr,5
0,Ru,Lu,0
0,Ru,Ca,5
0,Ru,Mg,10
0,Ru,Bi,6
0,Ru,Er,10
0,Ru,B,5
0,Ru,Nd,3
0,Ru,Gd,1
0,Ru,C,0
0,Ru,N,0
0,Ru,Os,0
0,Ru,Ho,2
0,Ru,Tm,0
0,Ru,V,0
0,Ru,In,3
0,Ru,Ga,0
0,Ru,Eu,0
0,Ru,Sc,0
0,Ru,Tb,0
0,Ru,Sm,0
0,Ru,Cl,0
0,Ru,Br,0
0,Ru,Al,1
0,Ru,Cd,1
0,Co,Ni,20
0,Co,Mn,17
0,Co,Sr,9
0,Co,Cu,4
0,Co,Pt,7
0,Co,Na,6
0,Co,Ti,1
0,Co,Sn,15
0,Co,Y,0
0,Co,Mo,17
0,Co,Fe,5
0,Co,Sb,13
0,Co,S,22
0,Co,W,0
0,Co,Pd,1
0,Co,Zn,7
0,Co,Ta,0
0,Co,Au,1
0,Co,Ce,5
0,Co,La,0
0,Co,Ba,0
0,Co,Li,3
0,Co,Nb,0
0,Co,F,12
0,Co,K,0
0,Co,Rh,1
0,Co,Se,0
0,Co,Te,0
0,Co,Cr,0
0,Co,Ag,11
0,Co,Si,0
0,Co,Pb,0
0,Co,Pr,0
0,Co,P,6
0,Co,Zr,5
0,Co,Lu,0
0,Co,Ca,0
0,Co,Mg,0
0,Co,Bi,0
0,Co,Er,0
0,Co,B,0
0,Co,Nd,0
0,Co,Gd,0
0,Co,C,0
0,Co,N,2
0,Co,Os,0
0,Co,Ho,0
0,Co,Tm,0
0,Co,V,0
0,Co,In,0
0,Co,Ga,0
0,Co,Eu,0
0,Co,Sc,0
0,Co,Tb,0
0,Co,Sm,0
0,Co,Cl,0
0,Co,Br,0
0,Co,Al,0
0,Co,Cd,0
0,Ni,Mn,0
0,Ni,Sr,2
0,Ni,Cu,7
0,Ni,Pt,6
0,Ni,Na,3
0,Ni,Ti,0
0,Ni,Sn,5
0,Ni,Y,1
0,Ni,Mo,0
0,Ni,Fe,9
0,Ni,Sb,5
0,Ni,S,2
0,Ni,W,0
0,Ni,Pd,2
0,Ni,Zn,0
0,Ni,Ta,0
0,Ni,Au,3
0,Ni,Ce,0
0,Ni,La,0
0,Ni,Ba,0
0,Ni,Li,1
0,Ni,Nb,0
0,Ni,F,0
0,Ni,K,0
0,Ni,Rh,0
0,Ni,Se,0
0,Ni,Te,0
0,Ni,Cr,0
0,Ni,Ag,0
0,Ni,Si,0
0,Ni,Pb,0
0,Ni,Pr,0
0,Ni,P,3
0,Ni,Zr,0
0,Ni,Lu,0
0,Ni,Ca,0
0,Ni,Mg,0
0,Ni,Bi,0
0,Ni,Er,0
0,Ni,B,0
0,Ni,Nd,0
0,Ni,Gd,0
0,Ni,C,0
0,Ni,N,1
0,Ni,Os,0
0,Ni,Ho,0
0,Ni,Tm,0
0,Ni,V,0
0,Ni,In,0
0,Ni,Ga,0
0,Ni,Eu,0
0,Ni,Sc,0
0,Ni,Tb,0
0,Ni,Sm,0
0,Ni,Cl,0
0,Ni,Br,0
0,Ni,Al,0
0,Ni,Cd,0
0,Mn,Sr,0
0,Mn,Cu,2
0,Mn,Pt,0
0,Mn,Na,0
0,Mn,Ti,0
0,Mn,Sn,0
0,Mn,Y,6
0,Mn,Mo,0
0,Mn,Fe,6
0,Mn,Sb,1
0,Mn,S,3
0,Mn,W,0
0,Mn,Pd,0
0,Mn,Zn,0
