,Element_Type,Occurence
1,Ir,794
2,Ru,539
3,Co,209
4,Ni,118
5,Sr,99
6,Mn,91
7,Cu,79
8,Pt,60
9,Ti,55
10,S,51
11,Mo,51
12,Y,49
13,Na,45
14,Fe,42
15,W,38
16,Pd,31
17,Sn,31
18,Zn,28
19,Au,26
20,Sb,24
21,La,23
22,Ce,21
23,Ta,19
24,F,18
25,Ba,18
26,Nb,18
27,Li,18
28,K,17
29,Rh,17
30,Cr,15
31,Se,15
32,Te,15
33,Ag,15
34,Pb,14
35,Zr,13
36,Lu,10
37,Ca,10
38,Er,10
39,Bi,10
40,Nd,8
41,N,6
42,B,5
43,Pr,5
44,Ho,4
45,Mg,4
46,Tm,4
47,Os,4
48,Si,3
49,V,3
50,In,3
51,Eu,2
52,Ga,2
53,Sc,2
54,Gd,2
55,P,2
56,Br,1
57,Cl,1
58,Cd,1
59,Sm,1
60,Al,1
61,C,1
62,Tb,1
