,Element_Type_1,Element_Type_2,Coexistence_num
0,Ir,Ru,33
0,Ir,Co,33
0,Ir,Sr,32
0,Ir,Ni,23
0,Ir,Mn,18
0,Ir,Cu,16
0,Ir,Na,8
0,Ir,Pt,6
0,Ir,S,3
0,Ir,Sn,12
0,Ir,Y,4
0,Ir,W,11
0,Ir,Ti,13
0,Ir,Sb,8
0,Ir,Ce,8
0,Ir,Fe,4
0,Ir,Se,0
0,Ir,Mo,6
0,Ir,Zn,3
0,Ir,N,9
0,Ir,Li,6
0,Ir,Ba,7
0,Ir,Ta,4
0,Ir,Au,4
0,Ir,La,5
0,Ir,Pr,5
0,Ir,Cr,2
0,Ir,Er,0
0,Ir,Lu,3
0,Ir,Ho,1
0,Ir,Ca,2
0,Ir,Te,3
0,Ir,Nd,3
0,Ir,Pb,0
0,Ir,Bi,1
0,Ir,In,1
0,Ir,Eu,2
0,Ir,Mg,0
0,Ir,Zr,1
0,Ir,Nb,2
0,Ir,F,1
0,Ir,Ag,2
0,Ir,B,1
0,Ir,Si,0
0,Ir,Rh,0
0,Ir,K,1
0,Ir,P,1
0,Ir,Tm,1
0,Ir,Os,1
0,Ir,C,1
0,Ir,Gd,1
0,Ir,Br,0
0,Ir,Cl,0
0,Ir,Sm,1
0,Ir,V,1
0,Ir,Pd,1
0,Ru,Co,19
0,Ru,Sr,13
0,Ru,Ni,9
0,Ru,Mn,6
0,Ru,Cu,10
0,Ru,Na,10
0,Ru,Pt,11
0,Ru,S,10
0,Ru,Sn,3
0,Ru,Y,12
0,Ru,W,2
0,Ru,Ti,2
0,Ru,Sb,3
0,Ru,Ce,2
0,Ru,Fe,3
0,Ru,Se,12
0,Ru,Mo,3
0,Ru,Zn,6
0,Ru,N,0
0,Ru,Li,0
0,Ru,Ba,0
0,Ru,Ta,0
0,Ru,Au,2
0,Ru,La,1
0,Ru,Pr,0
0,Ru,Cr,2
0,Ru,Er,4
0,Ru,Lu,0
0,Ru,Ho,2
0,Ru,Ca,1
0,Ru,Te,2
0,Ru,Nd,0
0,Ru,Pb,3
0,Ru,Bi,2
0,Ru,In,1
0,Ru,Eu,0
0,Ru,Mg,2
0,Ru,Zr,1
0,Ru,Nb,0
0,Ru,F,1
0,Ru,Ag,0
0,Ru,B,1
0,Ru,Si,2
0,Ru,Rh,1
0,Ru,K,0
0,Ru,P,0
0,Ru,Tm,0
0,Ru,Os,0
0,Ru,C,0
