,Element_Type,Occurence
1,Ir,284
2,Ru,170
3,Co,71
4,Sr,34
5,Ni,32
6,Mn,29
7,Cu,25
8,Na,18
9,Pt,17
10,S,16
11,Sn,15
12,Y,15
13,W,14
14,Ti,14
15,Sb,13
16,Ce,12
17,Fe,12
18,Se,12
19,Mo,10
20,Zn,10
21,N,10
22,Li,8
23,Ba,7
24,Ta,6
25,Au,6
26,La,6
27,Pr,5
28,Cr,4
29,Er,4
30,Lu,3
31,Ho,3
32,Ca,3
33,Te,3
34,Nd,3
35,Pb,3
36,Bi,3
37,In,2
38,Eu,2
39,Mg,2
40,Zr,2
41,Nb,2
42,F,2
43,Ag,2
44,B,2
45,Si,2
46,Rh,1
47,K,1
48,P,1
49,Tm,1
50,Os,1
51,C,1
52,Gd,1
53,Br,1
54,Cl,1
55,Sm,1
56,V,1
57,Pd,1
